title,degree_type,url_slug,url,row_number,URL,kiscourseid,A_level,A_level_subjects,GCSE,IB,IB_subjects,A_level_additional
Mechanical Engineering,BEng,mechanical-engineering-beng,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/mechanical-engineering-beng,38,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/mechanical-engineering-beng,UBNMECSING22,A*AA,"Mathematics and Physics required. A* must be in one of the required subjects. Design and Technology, Engineering, Economics, Geography, Chemistry and Biology preferred as third subject (in that order), but not essential.  ",English Language and Mathematics at grade C or 4.,39,"A total of 19 points in three higher level subjects including Mathematics and Physics, with no higher level score below 5. Higher Level 7, 6 required in Mathematics and Physics in any order. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level. Economics preferred as third higher level subject, but not essential.",NA
Neuroscience,BSc,neuroscience-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/neuroscience-bsc,39,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/neuroscience-bsc,UBSANASNEU18,AAA,"Chemistry required plus one from Biology, Life and Health Sciences, Mathematics or Physics.",English Language and Mathematics at grade B or 6.,38,"A total of 18 points in three higher level subjects including Chemistry and one subject from Biology, Mathematics or Physics, with no higher level score below 5. For Mathematics, the programme will accept either 'Analysis and Approaches' or 'Applications and Interpretation' at higher level.",NA
Anthropology,BSc,anthropology-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/anthropology-bsc,40,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/anthropology-bsc,UBSANTSING18,AAB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,"English Language and Mathematics at grade C or 4, plus any Science (Single Science, Biology, Chemistry or Physics) required at grade B or 6 (Combined Science at grades 6, 6).",36,"A total of 17 points in three higher level subjects, with no higher level score below 5.",NA
Anthropology,BSc,anthropology-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/anthropology-bsc,41,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/anthropology-bsc,UBSANTWABR18,AAB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,"English Language and Mathematics at grade C or 4, plus any Science (Single Science, Biology, Chemistry or Physics) required at grade B or 6 (Combined Science at grades 6, 6).",36,"A total of 17 points in three higher level subjects, with no higher level score below 5.",NA
Architecture,BSc,architecture-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/architecture-bsc,42,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/architecture-bsc,UBSARCSING18,AAB,"No specific subjects. Comprehensive portfolio of creative work required upon invitation, at application stage. At least two A level subjects should be taken from UCL's list of preferred A level subjects.",English Language and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5. No specific subjects are required but a comprehensive portfolio of creative work required upon invitation, at application stage.",NA
Urban Studies,BSc,urban-studies-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/urban-studies-bsc,43,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/urban-studies-bsc,UBSARCSURB18,AAB,"Geography, Economics, Government and Politics, History, Business, Design subjects, English Literature, Sociology, Anthropology, and Religious Education/Philosophy preferred",English Language and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5. Geography, Economics, Government and Politics, History, Business, Design subjects, English Literature, Sociology, Anthropology, and Religious Education/Philosophy preferred",NA
Archaeology,BSc,archaeology-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-bsc,44,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/archaeology-bsc,UBSARLSING18,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Astrophysics,BSc,astrophysics-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/astrophysics-bsc,45,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/astrophysics-bsc,UBSASTSPHY18,A*AA,A*A in Mathematics and Physics required (in any order).,English Language and Mathematics at grade C or 4.,39,"A total of 19 points in three higher level subjects including grade 7 and grade 6 in Mathematics and Physics, in any order, with no higher level score below 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level.",NA
Audiology,BSc,audiology-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/audiology-bsc,46,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/audiology-bsc,UBSAUDSING18,AAB,"To include two sciences from Biology, Chemistry, Mathematics, Physics and Psychology. Biology, Mathematics, Physics and Psychology preferred",English Language and Mathematics at grade B or 6.,36,"A total score of 17 points in three higher level subjects to include two subjects from Biology, Chemistry, Mathematics, Physics and Psychology, with no higher level score below 5. Biology, Mathematics, Physics or Psychology preferred. If Mathematics is offered at higher level, the programme will accept either 'Analysis and Approaches' or 'Applications and Interpretation.",NA
Biomedical Sciences,BSc,biomedical-sciences-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/biomedical-sciences-bsc,47,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/biomedical-sciences-bsc,UBSBMDSSCI18,AAA,"Biology and Chemistry required, plus Mathematics preferred.",English Language and Mathematics at grade B or 6.,38,"A total of 18 points in three higher level subjects to include 6 in both Biology and Chemistry, plus Mathematics preferred, with no higher level score below 5. For Mathematics, the programme will accept either 'Analysis and Approaches' or 'Applications and Interpretation' at higher level.",NA
