ukprn,kiscourseid,title,degree_type,year_abroad_available,industry_year_available,foundation_year_available,ucasprogid,crseurl
10007784,UBAHEBASPA18,Hebrew and Spanish,BA,Yes,No,No,A49-A56,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hebrew-and-spanish-ba
10007784,UBAHEBASRB18,Hebrew and Serbian/Croatian,BA,Yes,No,No,A49-G47,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hebrew-and-serbian-croatian-ba
10007784,UBAHEBASWE18,Hebrew and Swedish,BA,Yes,No,No,A49-G49,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hebrew-and-swedish-ba
10007784,UBAHEBAUKR18,Hebrew and Ukrainian,BA,Yes,No,No,A49-G50,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hebrew-and-ukrainian-ba
10007784,UBAHPASING18,History and Politics of the Americas,BA,No,No,No,A39-E13,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/history-and-politics-americas-ba
10007784,UBAHPAWABR18,History and Politics of the Americas with a Year Abroad,BA,Yes,No,No,A39-E14,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/history-and-politics-americas-year-abroad-ba
10007784,UBAHPESING18,"History, Politics and Economics",BA,No,No,No,A24-A17,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/history-politics-and-economics-ba
10007784,UBAHSEAJEW19,History (Central and East European) and Jewish Studies,BA,Yes,No,No,A24-A12,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/history-central-and-east-european-and-jewish-studies-year-abroad-ba
10007784,UBAHUNAEES18,Hungarian and East European Studies,BA,Yes,No,No,A24-A20,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hungarian-and-east-european-studies-ba
10007784,UBAHUNAITA18,Hungarian and Italian,BA,Yes,No,No,A49-B98,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hungarian-and-italian-ba
10007784,UBAHUNANOR18,Hungarian and Norwegian,BA,Yes,No,No,A49-B99,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hungarian-and-norwegian-ba
10007784,UBAHUNAPOL18,Hungarian and Polish,BA,Yes,No,No,A49-B29,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hungarian-and-polish-ba
10007784,UBAHUNAPOR18,Hungarian and Portuguese,BA,Yes,No,No,A49-C00,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/hungarian-and-portuguese-ba
