title,degree_type,url_slug,url,row_number,URL,kiscourseid,A_level,A_level_subjects,GCSE,IB,IB_subjects,A_level_additional
Czech and Hungarian,BA,czech-and-hungarian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-hungarian-ba,34,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-hungarian-ba,UBACZEAHUN18,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Czech and Italian,BA,czech-and-italian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-italian-ba,35,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-italian-ba,UBACZEAITA18,AAB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects to include a foreign language, with no higher level score below 5.",NA
Czech and Norwegian,BA,czech-and-norwegian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-norwegian-ba,36,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-norwegian-ba,UBACZEANOR18,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",NA
Czech and Polish,BA,czech-and-polish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-polish-ba,37,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-polish-ba,UBACZEAPOL18,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Czech and Portuguese,BA,czech-and-portuguese-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-portuguese-ba,38,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-portuguese-ba,UBACZEAPOR18,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",NA
Czech and Romanian,BA,czech-and-romanian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-romanian-ba,39,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-romanian-ba,UBACZEAROM18,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Czech and Russian,BA,czech-and-russian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-russian-ba,40,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-russian-ba,UBACZEARUS18,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Czech and Spanish,BA,czech-and-spanish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-spanish-ba,41,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-spanish-ba,UBACZEASPA18,AAB,Spanish required at A.,English Language at grade B or 6 and Mathematics at grade C or 4.,36,"A total of 17 points in three higher level subjects, with no higher level score below 5, to include Spanish grade 6.",NA
Czech and Serbian/Croatian,BA,czech-and-serbian-croatian-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-serbian-croatian-ba,42,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-serbian-croatian-ba,UBACZEASRB18,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
Czech and Swedish,BA,czech-and-swedish-ba,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-swedish-ba,43,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/czech-and-swedish-ba,UBACZEASWE18,ABB,A level or equivalent in a foreign language required (not necessarily one of the named languages). Applicants seeking to study two languages at beginner level should seek advice from the departments concerned.,English Language at grade B or 6 and Mathematics at grade C or 4.,34,"A total of 16 points in three higher level subjects to include a foreign language, with no higher level score below 5.",NA
