title,degree_type,url_slug,url,row_number,URL,A_level,A_level_subjects,GCSE,IB,IB_subjects,A_level_additional
Physics with Medical Physics,BSc,physics-medical-physics-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/physics-medical-physics-bsc,365,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/physics-medical-physics-bsc,A*AA,"Mathematics and Physics required. A* must be in one of the required subjects. Biology, Chemistry and Further Mathematics preferred.",English Language and Mathematics at grade C or 4.,39,"A total of 19 points in three higher level subjects including Mathematics and Physics, with no higher level score below 5. Higher Level 7, 6 required in Mathematics and Physics in any order. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level. Economics preferred as third higher level subject, but not essential.",NA
Urban Planning and Real Estate,BSc,urban-planning-and-real-estate-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/urban-planning-and-real-estate-bsc,366,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/urban-planning-and-real-estate-bsc,AAB,"Mathematics / Further Mathematics, Geography, Economics, Business, History, Law, Religious Education / Philosophy, Anthropology, Government and Politics and Sociology preferred. ","English Language at grade C or 4, plus Mathematics at grade B or 6.",36,"A total of 17 points in three higher level subjects, with no higher level score below 5. Mathematics (Analysis and Approaches or  Applications and Interpretation) / Further Mathematics, Geography, Economics, Business, History, Law, Religious Education / Philosophy, Anthropology, Government and Politics and Sociology preferred.",NA
Politics and International Relations,BSc,politics-and-international-relations-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/politics-and-international-relations-bsc,367,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/politics-and-international-relations-bsc,AAA,No specific subjects. An essay based subject is preferred but not required. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language at grade B or 6 and Mathematics at grade C or 4.,38,"A total of 18 points in three higher level subjects, with no higher level score below 5. An essay based subject at higher level is preferred but not required.",NA
Population Health Sciences,BSc,population-health-sciences-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/population-health-sciences-bsc,368,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/population-health-sciences-bsc,ABB,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,"English Language at grade C or 4, plus Mathematics or Statistics at grade C or 4.",34,"A total of 16 points in three higher level subjects, with no higher level score below 5.",NA
"Philosophy, Politics and Economics",BSc,philosophy-politics-and-economics-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/philosophy-politics-and-economics-bsc,369,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/philosophy-politics-and-economics-bsc,A*AA,A* in Mathematics required.,English Language at grade B or 6 and Mathematics at grade C or 4.,39,"A total of 19 points in three higher level subjects including 7 in Mathematics, with no higher level score below 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level.",NA
Psychology and Language Sciences,BSc,psychology-and-language-sciences-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/psychology-and-language-sciences-bsc,370,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/psychology-and-language-sciences-bsc,AAA,"To include one subject from Biology, Chemistry, Mathematics, Physics or Psychology.","English Language, Mathematics and two Sciences (double award acceptable) at grade B or 6.",38,"A total of 18 points in three higher level subjects to include grade 6 in one subject from Biology, Chemistry, Mathematics, Physics or Psychology, with no higher level score below 5. If Mathematics is offered at higher level, the programme will accept either 'Analysis and Approaches' or 'Applications and Interpretation.",NA
Psychology,BSc,psychology-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/psychology-bsc,371,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/psychology-bsc,A*AA,"To include A*A from two of the following subjects: Biology, Chemistry, Mathematics, Physics and Psychology.","English Language, Mathematics and two Sciences (double award acceptable) at grade B or 6.",39,"A total of 19 points in three higher level subjects to include grade 7 and grade 6 in two subjects from Biology, Chemistry, Mathematics, Physics and Psychology.",NA
Psychology with Education,BSc,psychology-education-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/psychology-education-bsc,372,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/psychology-education-bsc,AAA,"One or more from Psychology, Sociology, Mathematics, or Biology preferred.",English Language and Mathematics at grade B or 6.,38,"A total of 18 points in three higher level subjects, with no higher level score below 5. One or more from Psychology, Sociology, Mathematics, or Biology preferred.",NA
"Sustainable Built Environments, Energy and Resources",BSc,sustainable-built-environments-energy-and-resources-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/sustainable-built-environments-energy-and-resources-bsc,373,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/sustainable-built-environments-energy-and-resources-bsc,AAA,"Mathematics required. Economics, Physics, Chemistry, Computer Science, Further Mathematics, Enivironmental Systems and Societies, Environmental Studies and Geography preferred.",English Language and Mathematics at grade C or 4.,38,"A total of 18 points in three higher level subjects, including grade 6 in Mathematics, with no higher level score below 5. The programme will accept either 'Mathematics: Analysis and Approaches' or 'Mathematics: Applications and Interpretation' at higher level. Economics, Physics, Chemistry, Computer Science, Further Mathematics, Enivironmental Systems and Societies, Environmental Studies and Geography preferred",NA
Science and Engineering for Social Change,BSc,science-and-engineering-for-social-change-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/science-and-engineering-for-social-change-bsc,374,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/science-and-engineering-for-social-change-bsc,NA,NA,NA,NA,NA,NA
Sociology,BSc,sociology-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/sociology-bsc,375,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/sociology-bsc,AAA,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language and Mathematics at grade B or 6.,38,"A total of 18 points in three higher level subjects, with no higher level score below 5.",NA
Sociology and Politics of Science,BSc,sociology-and-politics-of-science-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/sociology-and-politics-of-science-bsc,376,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/sociology-and-politics-of-science-bsc,NA,NA,NA,NA,NA,NA
Social Sciences,BSc,social-sciences-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/social-sciences-bsc,377,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/social-sciences-bsc,AAA,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language and Mathematics at grade B or 6.,38,"A total of 18 points in three higher level subjects, with no higher level score below 5.",NA
Social Sciences with Data Science,BSc,social-sciences-data-science-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/social-sciences-data-science-bsc,378,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/social-sciences-data-science-bsc,AAA,No specific subjects. At least two A level subjects should be taken from UCL's list of preferred A level subjects.,English Language and Mathematics at grade B or 6.,38,"A total of 18 points in three higher level subjects, with no higher level score below 5.",NA
Statistics and Management for Business,BSc,statistics-and-management-for-business-bsc,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/statistics-and-management-for-business-bsc,379,https://www.ucl.ac.uk/prospective-students/undergraduate/degrees/statistics-and-management-for-business-bsc,NA,NA,NA,NA,NA,NA
